gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlyCharge,HighCharge,LowTenureHighCharge
1,0,1,1,0.1808331521338431,0,1,0,2,2,2,0,0,0,0,0,0,-0.8237342748409557,-0.3748991794748543,-0.6939704627982914,0,0
0,0,0,0,1.1995681100227022,1,0,2,1,1,1,1,1,1,2,1,1,-1.5212704521160125,-0.5177981488054297,-1.3579287652894734,0,0
1,0,0,0,-0.8786512040705705,1,0,1,2,0,0,0,0,0,0,1,2,0.2823588062666342,-0.6636636506378703,0.217443207443801,0,0
0,0,0,0,-0.9194006023861249,0,1,0,0,2,0,2,0,0,0,0,2,-0.9549375081855498,-0.847259051031067,-0.828993647133852,0,0
0,0,0,0,0.1808331521338431,1,2,1,0,2,2,0,2,2,0,1,0,1.2256934460100444,0.5465058156043956,1.1114049014792562,1,0
1,1,0,0,1.607062093178246,1,2,2,1,1,1,1,1,1,2,1,1,-1.3252960023101632,-0.224990403713946,-1.1392294193756378,0,0
1,0,0,0,-0.5526560175461356,1,2,1,2,0,2,0,0,0,0,1,2,0.6560389012354145,-0.2856175383261339,0.7612358785574829,0,0
0,0,0,0,-1.2861451872261143,1,0,2,1,1,1,1,1,1,0,1,3,-1.5079840487393448,-1.0030129945363906,-1.6208770675100093,0,0
0,0,1,0,-0.38965842428391806,1,2,0,0,0,0,2,2,2,0,1,1,0.2873412075328848,-0.2896608122546017,0.29822676918155466,0,0
0,1,1,0,0.4253295420271693,1,2,1,2,0,2,2,2,2,1,1,3,1.4797959105888148,1.1112017580705082,1.6506619636749411,1,0
1,0,0,0,0.5475777369738324,1,2,1,0,2,2,0,2,0,1,1,1,0.9931813869183589,0.9321989894764948,1.1377999772653262,1,0
1,0,0,1,-0.9601500007016792,1,0,2,1,1,1,1,1,1,0,0,3,-1.4814112419860093,-0.9307174987502007,-1.339136726624112,0,0
0,0,1,1,-0.3489090259683637,1,0,2,1,1,1,1,1,1,2,1,3,-1.5046624478951778,-0.7944987211275284,-1.294895966940287,0,0
0,1,0,0,-1.0008993990172337,1,2,1,0,0,0,2,2,2,0,1,1,1.167565431237123,-0.6123316511981926,1.3617747410555583,1,1
0,0,1,1,-0.9194006023861249,1,2,1,0,0,0,0,0,2,0,0,2,0.6958981113654179,-0.6342839917119931,0.6125792511166586,0,0
1,0,1,1,1.5663126948626918,1,0,0,2,0,2,2,0,2,2,1,1,0.19433638389621016,1.1741142214248734,0.31874647558076413,0,0
0,0,1,1,-1.1231475939638966,0,1,0,0,2,0,0,0,0,0,1,2,-1.1459295567251486,-0.9381448171622774,-1.0296913735101785,0,0
1,1,1,0,0.34383074539606057,1,2,1,2,0,2,0,0,0,0,1,0,0.6228228927937453,0.4270534401959676,0.6088855800161063,0,0
1,0,1,1,1.0365705167604848,1,2,0,2,2,2,2,0,0,2,0,1,0.2192483902274622,0.8475099801269581,0.40461519007841035,0,0
0,0,0,0,-1.2046463905950056,1,0,0,0,0,2,0,2,2,1,1,2,0.16444197629870802,-0.9147421718697873,-0.13814080776642973,0,0
1,0,1,1,1.4033151016004741,1,0,2,1,1,1,1,1,1,2,1,1,-1.5146272504276788,-0.4472386238907015,-1.3235839360634916,0,0
0,0,0,0,-0.7971524074394618,0,1,0,2,0,0,0,0,0,0,1,0,-1.1343039537705644,-0.8384253764699582,-1.0204200111504025,0,0
1,0,1,1,-1.2861451872261143,1,0,2,1,1,1,1,1,1,1,1,2,-1.488054443674343,-1.002749302758447,-1.611060330893776,0,0
1,0,1,1,1.5663126948626918,1,0,1,2,2,2,2,2,0,2,0,1,1.1692262316592064,2.1566297860425414,1.334778715360917,1,0
1,0,0,0,-1.0008993990172337,1,0,0,0,0,0,0,0,2,0,1,1,-0.34044135201466647,-0.819109953735593,-0.34888251003251325,0,0
1,0,0,0,-0.1859114327061462,1,0,1,0,2,0,2,2,0,1,1,0,0.8719429561062655,0.0799032145332838,0.8608955015215373,1,0
0,0,1,0,1.5663126948626918,1,2,2,1,1,1,1,1,1,2,0,3,-1.36681601286225,-0.2767618894501964,-1.1816235517882716,0,0
1,0,0,0,1.4033151016004741,1,2,1,2,2,2,2,2,2,1,1,0,1.7720967848755051,2.4181900554477145,1.813898019868404,1,0
1,0,1,1,1.2403175083382567,1,2,0,2,2,2,2,2,2,2,1,1,0.8104933404891773,1.4484635420603087,0.9204561884356719,0,0
1,0,0,0,-1.1231475939638966,1,0,1,0,0,0,0,2,0,0,1,2,0.5181924662024865,-0.8289983954084762,0.3247455924017962,0,0
0,0,0,0,0.1808331521338431,1,2,0,2,2,2,2,2,0,0,1,1,0.461725251851649,0.29670180463253915,0.6219458582628491,0,0
0,0,1,0,0.832823525182713,1,2,1,0,2,2,2,2,2,1,1,0,1.5545319295825708,1.5416785855633537,1.578985187974623,1,0
0,0,0,1,-0.8379018057550162,1,0,0,0,0,0,0,0,0,0,1,2,-0.6792446381196942,-0.8004098118164297,-0.7318331257526707,0,0
0,0,0,0,1.5255632965471373,1,0,2,1,1,1,1,1,1,1,0,0,-1.5046624478951778,-0.4220560590970925,-1.323287075345602,0,0
1,0,0,0,-1.2046463905950056,1,2,1,0,0,0,0,0,0,0,1,2,0.3122532138641368,-0.9107428465709766,-0.06369722175999325,0,0
1,0,1,0,-0.7564030091239073,1,2,1,0,2,2,0,0,0,0,1,2,0.5862852835079091,-0.4908356645107018,0.6435168453011514,0,0
0,0,0,0,1.158818711707148,0,1,0,2,2,2,2,0,0,1,0,1,-0.7074782452951129,0.17346984707358687,-0.5183678226454573,0,0
1,0,0,0,-1.163896992279451,1,0,1,0,0,0,0,2,2,0,1,2,0.7789381324695913,-0.8487313301245851,0.4841584875642964,0,0
0,0,0,0,-1.2861451872261143,1,0,1,0,0,0,0,2,2,0,0,2,0.8503525506191802,-0.9718094674797372,-0.4592299012557291,1,1
0,1,0,0,-0.9194006023861249,0,1,0,0,0,0,2,0,0,0,1,2,-1.1741631639005676,-0.8835606191279624,-1.0747095394068444,0,0
1,0,0,1,-0.38965842428391806,1,0,0,0,2,0,2,0,0,0,1,0,-0.32217254737174844,-0.4472386238907015,-0.19063307995045523,0,0
1,0,0,1,-0.2266608310217006,1,0,2,1,1,1,1,1,1,2,0,3,-1.4747680402976753,-0.7559118242884556,-1.2615728207646586,0,0
0,1,1,0,1.607062093178246,1,2,0,2,2,2,2,0,2,2,0,0,0.44677804805289767,1.4856440827503494,0.6055274193547687,0,0
1,0,1,1,1.3625657032849199,0,1,0,0,0,0,2,2,2,2,0,0,-0.47994858746967795,0.46704669318407266,-0.2983282157722424,0,0
1,0,1,1,0.09933435550273437,1,2,1,0,2,2,2,2,2,0,1,2,1.4930823139654827,0.6506860422069266,1.4964821824005383,1,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,0,0,1,3,-0.6543326317884421,-0.9917181967144751,-1.2003935157813475,0,0
1,1,0,0,-0.8379018057550162,1,2,1,0,0,0,0,0,0,0,1,1,0.2757156045783002,-0.6477102980722855,0.142737422275606,0,0
1,0,0,0,-0.26741022933725495,0,1,0,2,2,0,0,0,2,0,1,0,-0.6759230372755272,-0.5033390496481919,-0.5398846940718192,0,0
0,0,0,0,-0.5934054158616899,0,1,0,0,0,2,2,0,0,0,1,2,-0.9898143170493026,-0.7447268980406833,-0.8956441220545944,0,0
1,0,1,0,-1.2046463905950056,0,1,0,0,2,0,0,0,0,0,0,1,-1.1691807626343174,-0.9701394195527613,-1.169307183163275,0,0
0,0,0,0,1.4033151016004741,1,0,2,1,1,1,1,1,1,1,0,2,-1.476428840719759,-0.42122103513360454,-1.2950961513732455,0,0
0,0,1,1,-0.8379018057550162,1,0,2,1,1,1,1,1,1,2,0,0,-1.4847328428301763,-0.9129622523686682,-1.3764654968853278,0,0
0,1,1,0,-0.022913839443928746,1,2,1,0,0,0,0,2,0,0,1,1,0.6958981113654179,0.1436067532214797,0.6649351797365697,0,0
1,1,0,0,-0.9601500007016792,1,2,1,0,0,0,0,0,2,0,1,2,0.6660037037679153,-0.6835504055577797,0.5011741643657679,0,0
1,1,1,1,0.7920741268671586,1,2,0,0,2,2,0,2,2,1,1,2,0.5264964683129039,0.7812793952334699,0.5771766975392476,0,0
0,0,0,0,-0.6341548141772443,1,0,2,1,1,1,1,1,1,1,0,1,-1.4930368449405937,-0.8631245063373373,-1.3272839261171046,0,0
1,1,0,0,1.5255632965471373,0,1,0,0,0,0,0,2,2,1,1,2,-0.6559934322105255,0.4230541148971569,-0.4370385459472015,0,0
0,0,0,1,-0.7564030091239073,1,2,1,2,0,0,2,0,0,0,1,3,0.6975589117875013,-0.5000429024238975,0.5978144826100202,0,0
0,0,1,1,-0.5934054158616899,1,0,0,2,2,0,2,0,0,1,1,3,-0.11623329503339824,-0.5337075527413573,-0.06871322972398969,0,0
1,0,0,0,0.5475777369738324,0,1,0,2,0,2,2,2,2,2,1,0,-0.14114530136465026,0.25998272455389987,0.07289292114052323,0,0
1,1,1,0,-0.7971524074394618,1,0,1,0,2,2,0,2,2,0,1,2,1.0961510130875338,-0.4676088137368408,0.9516922555036196,1,0
1,0,0,0,-0.5526560175461356,1,0,1,0,0,0,0,2,0,0,1,0,0.455082050163315,-0.3545509639435437,0.5046100221814492,0,0
0,0,0,0,-1.2046463905950056,1,0,0,2,2,0,2,0,2,2,0,3,0.2026403860066275,-0.9178625245754526,-0.1962231660791437,0,0
1,0,1,1,1.1995681100227022,1,0,2,1,1,1,1,1,1,2,0,1,-1.473107239875592,-0.4761348478903489,-1.3086892609921756,0,0
0,1,0,0,0.22158255044939748,1,0,2,1,1,1,1,1,1,2,0,3,-1.488054443674343,-0.6882089603014491,-1.3241095682654165,0,0
1,0,0,0,-1.041648797332788,1,0,2,1,1,1,1,1,1,0,0,2,-1.519609651693929,-0.9622726148441121,-1.4822156628057133,0,0
0,0,0,0,0.5475777369738324,1,0,0,0,0,0,0,0,2,1,0,1,-0.3105469444171641,0.17008580258997785,-0.06951938204036595,0,0
0,0,0,1,-0.8379018057550162,1,2,1,2,0,0,0,0,0,0,1,2,0.44179564678664707,-0.6120240107905917,0.34712691284949043,0,0
1,0,1,0,-0.9194006023861249,1,0,2,1,1,1,1,1,1,1,0,0,-1.5079840487393448,-0.9283662470635374,-1.3779872054750235,0,0
1,0,0,0,-0.9601500007016792,1,0,1,0,0,2,0,0,0,0,1,2,0.2923236087991349,-0.7020967272731428,0.36308540263075156,0,0
1,0,0,0,-0.3489090259683637,1,0,0,2,0,0,0,0,0,0,1,2,-0.46001898240467626,-0.45097425741156844,-0.27179567679644684,0,0
0,0,1,0,-1.163896992279451,1,2,1,0,2,0,0,2,0,0,1,2,0.8852293594829335,-0.8510386331815912,0.44979990940747977,1,1
0,0,0,0,0.5475777369738324,1,2,1,2,2,0,0,0,0,0,0,3,0.6394308970145799,0.679340548743459,0.737228387751152,0,0
0,1,0,0,1.4033151016004741,1,0,1,2,2,0,2,2,0,2,1,0,0.9118021662362689,1.6871924983585362,1.0134971368399268,1,0
0,0,1,1,-0.7564030091239073,1,2,0,0,2,0,2,2,2,0,0,1,0.5132100649362364,-0.5119090324313572,0.5389140629126202,0,0
0,0,1,1,0.4660789403427237,1,0,2,1,1,1,1,1,1,0,0,3,-1.5079840487393448,-0.668717743048455,-1.3741861121724417,0,0
0,0,0,0,-0.9601500007016792,1,0,2,1,1,1,1,1,1,0,0,3,-1.526252853382263,-0.9423419112945455,-1.425687621123903,0,0
0,0,0,0,-1.2861451872261143,1,0,1,0,0,0,0,0,2,0,1,2,0.5630340775987405,-0.9756110239450901,-0.6007545208064264,0,0
0,0,1,0,0.9958211184449305,1,2,1,0,2,2,2,2,2,1,1,0,1.4748135093225647,1.7363490406301796,1.5860928145391437,1,0
1,0,0,0,-1.2861451872261143,1,0,2,1,1,1,1,1,1,0,1,3,-1.49137604451851,-1.0027932513881044,-1.6126964536631483,0,0
1,1,1,0,1.4848138982315828,1,2,1,0,2,2,2,2,2,2,1,2,1.4930823139654827,2.3435213336600325,1.6271772274301533,1,0
0,0,1,1,1.3218163049693654,1,2,1,2,0,2,2,2,2,2,0,2,1.4714919084783975,2.2131257494669465,1.6963618473921787,1,0
1,0,1,0,0.7920741268671586,1,2,1,2,0,2,2,0,0,2,1,1,0.8835685590608495,1.0222277573293888,0.9156688893537087,1,0
0,0,0,0,-1.163896992279451,1,0,2,1,1,1,1,1,1,0,1,1,-1.4897152440964267,-0.98154408894882,-1.4935867160528502,0,0
0,0,0,0,-1.2861451872261143,1,0,2,1,1,1,1,1,1,0,0,2,-1.5328960550705968,-1.00334260925882,-1.633147988280301,0,0
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,0,0,0,2,-0.6393854279896908,-0.9915204278810176,-1.1930309633191725,0,0
1,0,1,0,1.607062093178246,1,2,1,2,2,2,0,0,2,2,1,2,1.1343494227954536,2.2502843158421593,1.3854200769690888,1,0
0,0,0,0,0.832823525182713,0,1,0,2,2,2,2,2,0,1,1,2,-0.3786397617225862,0.2537420191425691,-0.19684428676010912,0,0
1,0,0,1,1.607062093178246,0,1,0,2,2,2,2,2,2,2,0,1,0.07309795308411726,1.041521205748925,0.15254553864542542,0,0
0,0,0,0,-1.2453957889105598,1,0,1,0,0,0,0,0,0,0,0,2,0.15447717376620732,-0.9478354900017028,-0.3583356638111084,0,0
1,1,0,0,1.607062093178246,1,2,1,2,2,2,2,2,2,2,0,0,1.6209639464659096,2.4364946596999624,1.575344794060325,1,0
1,0,1,1,-1.2861451872261143,1,0,0,0,0,0,0,0,0,0,1,3,-0.6360638271455238,-0.9914764792513603,-1.1913948405498,0,0
0,0,1,1,1.4033151016004741,1,2,2,1,1,1,1,1,1,2,1,3,-1.3319392039984972,-0.27318007613312983,-1.1329996940605884,0,0
0,0,0,0,-0.5934054158616899,1,0,2,1,1,1,1,1,1,1,0,3,-1.49137604451851,-0.8327340289293431,-1.2405215794933186,0,0
0,1,0,0,-1.2453957889105598,1,0,1,0,0,0,0,0,0,0,1,2,0.1777283796753755,-0.9505163564107955,-0.4248713230989122,0,0
0,0,0,0,-0.8379018057550162,1,2,0,0,0,0,2,2,2,1,0,3,0.30062761090955226,-0.6281092092451482,0.2550006153740697,0,0
0,0,0,0,0.3845801437116149,1,0,0,0,0,2,2,0,2,2,0,1,0.0498467471749486,0.20256383990669183,0.16086062833634468,0,0
1,0,0,1,-0.06366323775948311,1,2,0,0,2,0,2,2,2,1,1,3,0.479994056494567,0.12563176369166099,0.7045646761333524,0,0
1,0,1,0,1.4848138982315828,1,0,0,2,2,0,0,0,0,1,1,1,-0.37697896130050285,0.6603547407315234,-0.16313842636419515,0,0
0,0,1,1,1.4033151016004741,1,0,1,2,2,2,0,0,0,1,0,0,0.6576997016574979,1.448749208153081,0.7524152519802498,0,0
1,0,1,1,0.7513247285516043,1,0,2,1,1,1,1,1,1,2,0,1,-1.5096448491614283,-0.5340151931489582,-1.2576892766087864,0,0
1,0,0,0,1.3218163049693654,1,2,2,1,1,1,1,1,1,1,0,1,-1.3352608048426642,-0.30803133945133565,-1.1478144795110672,0,0
1,0,0,0,-0.30815962765280935,1,0,2,1,1,1,1,1,1,0,0,3,-1.4747680402976753,-0.7736450963551593,-1.2600490690646118,0,0
0,0,1,0,1.0365705167604848,1,2,1,0,0,2,2,2,2,0,1,1,1.232336647698378,1.5749257238990695,1.3225909872738135,1,0
1,1,1,0,0.7920741268671586,1,0,1,2,0,2,2,2,2,1,1,0,1.3103942675363012,1.3973073371392601,1.4425930318143603,1,0
1,1,0,0,0.1808331521338431,0,1,0,0,2,2,0,0,0,0,0,2,-0.9416511048088821,-0.43370244595626595,-0.8091879504519777,0,0
0,0,0,0,-1.163896992279451,1,2,2,1,1,1,1,1,1,1,0,2,-1.3651552124401665,-0.9687770120333864,-1.3034692502517977,0,0
0,1,0,0,1.2403175083382567,1,2,1,0,0,2,0,0,2,0,1,0,0.8171365421775109,1.4225997735070124,0.8903668681301861,0,0
1,0,1,0,0.832823525182713,1,0,1,0,2,0,0,2,2,1,1,0,0.9715909814312735,1.1277703914512944,1.0082813271617483,1,0
0,0,1,1,-0.022913839443928746,1,0,1,0,2,0,0,2,0,0,1,2,0.7008805126316681,0.18542387434036106,0.7592849261037011,0,0
0,0,0,0,-0.1044126360750375,1,0,1,0,0,0,2,2,2,1,1,0,0.9765733826975241,0.14778187303891924,0.8431238231645628,1,0
0,0,1,0,-0.8786512040705705,1,2,1,0,0,0,0,2,2,0,1,2,0.9632869793208563,-0.5374651605770528,1.0004642961525256,1,1
0,0,1,1,1.4848138982315828,0,1,0,2,2,2,2,0,0,2,0,0,-0.6227774237688561,0.36018560017244894,-0.48241609821597536,0,0
0,0,1,1,1.158818711707148,0,1,0,0,2,2,2,2,0,2,0,1,-0.45337578071634227,0.4142424146508767,-0.22922270677430445,0,0
0,0,0,0,-0.9601500007016792,1,2,1,0,0,2,0,2,2,0,0,1,1.1061158156200344,-0.6057613310644324,1.0803616247235355,1,1
0,0,1,0,-0.5934054158616899,1,0,0,0,0,0,2,0,0,0,1,3,-0.48825258958009526,-0.612243753938878,-0.3764765338153758,0,0
0,0,1,1,1.0365705167604848,1,0,2,1,1,1,1,1,1,2,1,3,-1.4996800466289273,-0.502328231166075,-1.2988381908876423,0,0
0,1,0,0,0.09933435550273437,1,2,1,2,0,0,0,2,2,0,1,2,1.1310278219512864,0.550571063847692,1.2894217563655421,1,0
1,0,0,1,-0.7564030091239073,1,0,0,2,2,2,2,0,2,2,0,0,0.36872042821497436,-0.5480567803244522,0.3594859325381327,0,0
0,0,1,1,1.0365705167604848,1,0,2,1,1,1,1,1,1,2,0,1,-1.4780896411418423,-0.48802295221263725,-1.2807853786357555,0,0
0,0,0,0,-0.9601500007016792,1,0,0,2,2,0,0,2,2,0,1,2,0.32055721597455417,-0.7024263419955722,0.36063121847669316,0,0
0,1,1,0,0.7513247285516043,1,2,1,2,0,0,0,0,0,0,1,2,0.41522284003331167,0.6616512253064125,0.45432441814278196,0,0
1,0,1,0,-0.1044126360750375,1,0,2,1,1,1,1,1,1,2,0,3,-1.526252853382263,-0.7314324375693627,-1.2685828905564736,0,0
1,0,0,0,-1.163896992279451,1,2,0,0,0,0,0,0,0,0,0,1,-0.44008937733967457,-0.9232462317084668,-0.6254599746239472,0,0
0,1,0,0,-0.7564030091239073,1,0,1,2,2,0,0,0,0,0,0,2,0.4600644514295651,-0.5528911295867506,0.3354894652540067,0,0
0,1,1,0,-0.38965842428391806,1,0,1,2,0,0,0,2,2,0,1,2,0.9998245886066923,0.010640174193444684,1.229862342774923,1,0
1,0,0,0,-0.6341548141772443,1,0,1,0,0,0,0,0,0,0,1,2,0.1926755834741268,-0.481166965986105,0.25266529484000855,0,0
1,0,1,0,-1.0008993990172337,1,0,0,0,2,0,0,0,0,0,1,0,-0.5131645959113473,-0.8387110425627302,-0.5110404556191828,0,0
1,0,1,0,1.158818711707148,1,2,0,2,0,2,2,0,2,2,0,1,0.34380842188372235,1.066835616431506,0.5544800997549919,0,0
0,0,1,1,1.607062093178246,1,2,1,2,2,2,2,0,2,2,0,1,1.4100422928613094,2.354090979092603,1.4912973915240804,1,0
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,2,0,0,0,0,1,-0.5314334005542654,-0.9900920974171566,-1.139856973314575,0,0
0,0,1,1,-0.5119066192305812,1,0,2,1,1,1,1,1,1,0,0,2,-1.494697645362677,-0.8280754741856737,-1.2907698211371466,0,0
0,0,1,1,1.607062093178246,1,2,0,2,0,2,2,2,2,2,1,1,0.6942373109433345,1.6739639608317014,0.797603749950933,0,0
1,0,0,0,1.5663126948626918,1,2,1,0,2,0,0,0,0,1,1,1,0.4667076531178991,1.4286207357700567,0.581935002176169,0,0
0,0,1,1,1.607062093178246,1,2,1,2,2,2,2,2,2,2,0,1,1.7438631777000864,2.7987632139647434,1.944839588250332,1,0
1,0,0,0,0.1808331521338431,1,0,1,0,0,0,0,0,0,0,1,3,0.1777283796753755,0.11033764057093522,0.2567890896563794,0,0
1,0,1,1,1.5255632965471373,1,0,0,2,2,2,0,2,2,2,1,1,0.5032452624037357,1.4495622578017402,0.6394380603690544,0,0
0,0,1,1,0.7513247285516043,1,2,1,0,0,2,0,0,2,1,1,2,0.8354053468204293,0.9901672319944189,0.9247097143372974,1,0
0,0,1,1,-0.1859114327061462,1,0,1,0,0,0,0,0,0,1,1,0,0.17938918009745933,-0.13608232591731237,0.3063627187574127,0,0
